연도,직종,회차,성별,연령대,응시지역,졸업여부,합격여부
2002,의사,66,여,20,광주광역시,졸업,합격
2002,의사,66,남,40,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,여,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,여,30,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,50,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,남,30,광주광역시,졸업,합격
2002,의사,66,여,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,남,20,광주광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,30,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,30,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,30,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,남,20,대구광역시,졸업,합격
2002,의사,66,여,20,대구광역시,졸업,합격
2002,의사,66,남,30,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,여,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,30,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,30,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,50,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,남,20,대전광역시,졸업,합격
2002,의사,66,여,20,대전광역시,졸업,합격
